timestamp_sec,q_error,dq,tau_est,temperature
2.000041124,0.00524526834487915,0.15651452541351318,0.515625,45
2.001951161,0.004881918430328369,0.20332711935043335,0.73828125,45
2.004012594,0.005784153938293457,0.21636493504047394,0.515625,45
2.006029159,0.005299687385559082,0.23408740758895874,0.21875,45
2.008114793,0.0047547221183776855,0.23256231844425201,0.1953125,45
2.009993906,0.006559133529663086,0.25582343339920044,0.71484375,45
2.011919419,0.005348026752471924,0.2865029573440552,0.3671875,45
2.014102035,0.005644738674163818,0.3042321503162384,-0.0703125,45
2.016036047,0.005160331726074219,0.3212422728538513,0.3203125,45
2.017964483,0.006123065948486328,0.34331434965133667,0.34375,45
2.020018564,0.005638599395751953,0.36256304383277893,0.69140625,45
2.021987612,0.004790842533111572,0.34849128127098083,0.3203125,45
2.023985799,0.005208611488342285,0.3605755567550659,0.171875,45
2.025903988,0.004663586616516113,0.3417840301990509,0.26953125,45
2.028029024,0.0042397379875183105,0.3032601475715637,0.34375,45
2.03001516,0.004960298538208008,0.3030467629432678,0.3203125,45
2.031908556,0.004536449909210205,0.28949210047721863,0.34375,45
2.034001653,0.006717801094055176,0.28238311409950256,0.46875,45
2.035920145,0.00635451078414917,0.2589374780654907,0.46875,45
2.037945945,0.007256686687469482,0.22953705489635468,0.44140625,45
2.039997092,0.006893336772918701,0.2224636822938919,0.6171875,45
2.041869111,0.006530046463012695,0.20740024745464325,1.43359375,45
2.044070619,0.00682675838470459,0.23966453969478607,0.86328125,45
2.045973132,0.005918383598327637,0.23754462599754333,0.6640625,45
2.048052644,0.00519174337387085,0.2605057954788208,0.29296875,45
2.050116449,0.006215035915374756,0.26415732502937317,0.6171875,45
2.051936435,0.006033360958099365,0.29179471731185913,0.86328125,45
2.054086809,0.008201181888580322,0.2973349094390869,0.515625,45
2.056107016,0.00765615701675415,0.28374654054641724,0.29296875,45
2.057951495,0.007050633430480957,0.26514679193496704,0.24609375,45
2.060011251,0.006384491920471191,0.24616606533527374,0.24609375,45
2.061905009,0.005778968334197998,0.2364087551832199,1.2109375,45
2.064003826,0.00803452730178833,0.2665345370769501,0.6171875,45
2.065988491,0.007126212120056152,0.2950005829334259,0.515625,45
2.068055626,0.007665097713470459,0.3171826899051666,-0.0703125,45
2.06995353,0.007483422756195068,0.32555443048477173,0.41796875,45
2.071909945,0.0074228644371032715,0.31365710496902466,1.60546875,45
2.074034547,0.007719516754150391,0.34837448596954346,0.765625,45
2.07598728,0.006447851657867432,0.3520570993423462,0.46875,45
2.07790188,0.006684005260467529,0.3485450744628906,0.14453125,45
2.079948492,0.006017923355102539,0.353730708360672,0.34375,45
2.081930952,0.005654573440551758,0.3522109091281891,0.7890625,45
2.083879451,0.006435692310333252,0.35029903054237366,0.3203125,45
2.085907189,0.005830109119415283,0.3705791234970093,0.1953125,45
2.088107766,0.006490111351013184,0.3647952973842621,0.3203125,45
